0.0, {'train_loss_epoch_ave': [tensor(2867860.5000, device='cuda:0')], 'valid_loss_epoch_ave': []}
0.05, {'train_loss_epoch_ave': [tensor(9934467., device='cuda:0')], 'valid_loss_epoch_ave': []}
0.1, {'train_loss_epoch_ave': [tensor(1386791.3750, device='cuda:0')], 'valid_loss_epoch_ave': []}
0.15, {'train_loss_epoch_ave': [tensor(2686404.2500, device='cuda:0')], 'valid_loss_epoch_ave': []}
0.2, {'train_loss_epoch_ave': [tensor(3390616.5000, device='cuda:0')], 'valid_loss_epoch_ave': []}
0.25, {'train_loss_epoch_ave': [tensor(1199405.1250, device='cuda:0')], 'valid_loss_epoch_ave': []}
0.3, {'train_loss_epoch_ave': [tensor(997252.3125, device='cuda:0')], 'valid_loss_epoch_ave': []}
0.35, {'train_loss_epoch_ave': [tensor(1099755.1250, device='cuda:0')], 'valid_loss_epoch_ave': []}
0.4, {'train_loss_epoch_ave': [tensor(1132309., device='cuda:0')], 'valid_loss_epoch_ave': []}
0.45, {'train_loss_epoch_ave': [tensor(4038174., device='cuda:0')], 'valid_loss_epoch_ave': []}
0.5, {'train_loss_epoch_ave': [tensor(1350159.2500, device='cuda:0')], 'valid_loss_epoch_ave': []}
0.55, {'train_loss_epoch_ave': [tensor(909960.5000, device='cuda:0')], 'valid_loss_epoch_ave': []}
0.6, {'train_loss_epoch_ave': [tensor(1074597.7500, device='cuda:0')], 'valid_loss_epoch_ave': []}
0.65, {'train_loss_epoch_ave': [tensor(1217798.2500, device='cuda:0')], 'valid_loss_epoch_ave': []}
0.7, {'train_loss_epoch_ave': [tensor(1323905.1250, device='cuda:0')], 'valid_loss_epoch_ave': []}
0.75, {'train_loss_epoch_ave': [tensor(1075475.2500, device='cuda:0')], 'valid_loss_epoch_ave': []}
0.8, {'train_loss_epoch_ave': [tensor(1337216.2500, device='cuda:0')], 'valid_loss_epoch_ave': []}
0.85, {'train_loss_epoch_ave': [tensor(1094430.7500, device='cuda:0')], 'valid_loss_epoch_ave': []}
0.9, {'train_loss_epoch_ave': [tensor(786113.5625, device='cuda:0')], 'valid_loss_epoch_ave': []}
0.95, {'train_loss_epoch_ave': [tensor(1079042.8750, device='cuda:0')], 'valid_loss_epoch_ave': []}
1.0, {'train_loss_epoch_ave': [tensor(1778765.2500, device='cuda:0')], 'valid_loss_epoch_ave': []}
1.05, {'train_loss_epoch_ave': [tensor(1228664.3750, device='cuda:0')], 'valid_loss_epoch_ave': []}
1.1, {'train_loss_epoch_ave': [tensor(1126264.5000, device='cuda:0')], 'valid_loss_epoch_ave': []}
1.15, {'train_loss_epoch_ave': [tensor(1344553.8750, device='cuda:0')], 'valid_loss_epoch_ave': []}
1.2, {'train_loss_epoch_ave': [tensor(969026.8125, device='cuda:0')], 'valid_loss_epoch_ave': []}
1.25, {'train_loss_epoch_ave': [tensor(1763006.6250, device='cuda:0')], 'valid_loss_epoch_ave': []}
1.3, {'train_loss_epoch_ave': [tensor(996296., device='cuda:0')], 'valid_loss_epoch_ave': []}
1.35, {'train_loss_epoch_ave': [tensor(919104.5625, device='cuda:0')], 'valid_loss_epoch_ave': []}
1.4, {'train_loss_epoch_ave': [tensor(498909.0625, device='cuda:0')], 'valid_loss_epoch_ave': []}
1.45, {'train_loss_epoch_ave': [tensor(683988.1875, device='cuda:0')], 'valid_loss_epoch_ave': []}
1.5, {'train_loss_epoch_ave': [tensor(913568., device='cuda:0')], 'valid_loss_epoch_ave': []}
1.55, {'train_loss_epoch_ave': [tensor(805843.8125, device='cuda:0')], 'valid_loss_epoch_ave': []}
1.6, {'train_loss_epoch_ave': [tensor(1057638.5000, device='cuda:0')], 'valid_loss_epoch_ave': []}
1.65, {'train_loss_epoch_ave': [tensor(1030960.1875, device='cuda:0')], 'valid_loss_epoch_ave': []}
1.7, {'train_loss_epoch_ave': [tensor(717374.0625, device='cuda:0')], 'valid_loss_epoch_ave': []}
1.75, {'train_loss_epoch_ave': [tensor(704838.5000, device='cuda:0')], 'valid_loss_epoch_ave': []}
1.8, {'train_loss_epoch_ave': [tensor(809118.8750, device='cuda:0')], 'valid_loss_epoch_ave': []}
1.85, {'train_loss_epoch_ave': [tensor(819859.9375, device='cuda:0')], 'valid_loss_epoch_ave': []}
1.9, {'train_loss_epoch_ave': [tensor(1156449.5000, device='cuda:0')], 'valid_loss_epoch_ave': []}
1.95, {'train_loss_epoch_ave': [tensor(985828.7500, device='cuda:0')], 'valid_loss_epoch_ave': []}
2.0, {'train_loss_epoch_ave': [tensor(900500.4375, device='cuda:0')], 'valid_loss_epoch_ave': []}
2.05, {'train_loss_epoch_ave': [tensor(849439.7500, device='cuda:0')], 'valid_loss_epoch_ave': []}
2.1, {'train_loss_epoch_ave': [tensor(875427.1250, device='cuda:0')], 'valid_loss_epoch_ave': []}
2.15, {'train_loss_epoch_ave': [tensor(1585692.2500, device='cuda:0')], 'valid_loss_epoch_ave': []}
2.2, {'train_loss_epoch_ave': [tensor(1714678.3750, device='cuda:0')], 'valid_loss_epoch_ave': []}
2.25, {'train_loss_epoch_ave': [tensor(854024.1875, device='cuda:0')], 'valid_loss_epoch_ave': []}
2.3, {'train_loss_epoch_ave': [tensor(543019.1250, device='cuda:0')], 'valid_loss_epoch_ave': []}
2.35, {'train_loss_epoch_ave': [tensor(1142669.2500, device='cuda:0')], 'valid_loss_epoch_ave': []}
2.4, {'train_loss_epoch_ave': [tensor(888439.7500, device='cuda:0')], 'valid_loss_epoch_ave': []}
2.45, {'train_loss_epoch_ave': [tensor(1116058.5000, device='cuda:0')], 'valid_loss_epoch_ave': []}
2.5, {'train_loss_epoch_ave': [tensor(1001459.3125, device='cuda:0')], 'valid_loss_epoch_ave': []}
2.55, {'train_loss_epoch_ave': [tensor(1090017.6250, device='cuda:0')], 'valid_loss_epoch_ave': []}
2.6, {'train_loss_epoch_ave': [tensor(777959.0625, device='cuda:0')], 'valid_loss_epoch_ave': []}
2.65, {'train_loss_epoch_ave': [tensor(876098.4375, device='cuda:0')], 'valid_loss_epoch_ave': []}
2.7, {'train_loss_epoch_ave': [tensor(813969.3125, device='cuda:0')], 'valid_loss_epoch_ave': []}
2.75, {'train_loss_epoch_ave': [tensor(876793.8750, device='cuda:0')], 'valid_loss_epoch_ave': []}
2.8, {'train_loss_epoch_ave': [tensor(1220531.7500, device='cuda:0')], 'valid_loss_epoch_ave': []}
